title,period,username,date,comment,head
pod powierzchnią,(2018-) serial TV,sprinterka,21/10/2018 23:21,"Takie mam odczucia względem tej nastolatki. Dziwna, bez przerwy tylko ucieka, bez jakiejkolwiek logiki w zachowaniu. Póki co bardziej drażni niż ciekawi, ale zobaczymy z czasem.",Irytująca główna bohaterka
pod powierzchnią,(2018-) serial TV,mateusz_kuzmicki,22/10/2018 17:27,"Moim zdaniem Simlat jest tutaj najlepszy. Najbardziej wyrazisty, ta jego córka przeciwieństwo, niech się uczy. Irytująca, sztuczna, która sama nie wie czego chce.",Simlat najlepszy !!
pod powierzchnią,(2018-) serial TV,Adiluzaczeq,29/10/2018 11:25,"Opieram swoje zdanie po obejrzeniu dwóch odcinków i głównie chodzi mi zachowanie głównego bohatera granego przez Topę. Wydaje się być typem intelektualisty, ma ciekawą pracę, całkiem fajną żonę i wydaje się, że wiódł z nią dosyć fajne życie póki nie spotkała ich tragiczna sytuacja. Rozumiem, że przez to od dwóch lat żyli razem a jakby osobno co na pewno rzutowało na co raz większe zblazowanie zarówno Jego jak i Jej. Szczególnie bohaterka grana przez Boczarską przeżywa prawdziwą traumę nie mogąc odnaleźć się w nowej gorszej rzeczywistości bez zaginionego/zmarłego synka. ALE ! Czy to jest powód, żeby główny bohater po jednym spotkaniu nawiązał romans z licealistką ? JA TEGO NIE KUPUJE. Bohater Topy spotyka dziewczynę nad Wisłą, całuje ją, odwozi, a potem okazuje się, że ona będzie uczennicą liceum w którym uczy. W porządku, tylko każdy racjonalnie myślący człowiek mający tak wiele do stracenia nie pogrąża się w tej sytuacji. Bo jak można ryzykować karierę, małżeństwo, zdanie opinii publicznej ( w końcu jest dyrektorem szkoły a więc osobą za pewne znaną w mieście ) i dać się ponieść emocjom? Czy w ogóle można mówić o jakichkolwiek emocjach skoro On ani nie zna tej dziewczyny, ani ona nie jest jakąś osobą fascynującą. Co więcej dziewczyna przecież jest córką jednego z nauczycieli a zarazem jego znajomego. Jak można być takim kretynem szczególnie, że nie wiadomo co świta w głowie tej dziewczynie i do czego ona jest zdolna. Jak dla mnie naciągane to.","Czy tylko ja uważam, że fabuła pozbawiona jest sensu ? "
pod powierzchnią,(2018-) serial TV,ManLikeNoOther,21/10/2018 21:51,"Simlat tak dobrze zagrał wuefiste w Belfrze, że wzięli go do tej samej roli XD",:D
pod powierzchnią,(2018-) serial TV,olo3,21/10/2018 23:01,O wiele lepszy start niż przereklamowana pułapka,Vs pułapka
pod powierzchnią,(2018-) serial TV,jujuga,22/10/2018 20:13,"W pierwszym odcinku liczba zbiegów okoliczności jest zatrważająca - rozumiem, że Płock to nie jest metropolia, ale bez przesady. Są też emocje, a i owszem. Ale czy naprawdę wszystkie nastolatki masowo lgną do starszych panów? Plus za obsadę, zdecydowanie.",Zbiegi okoliczności
pod powierzchnią,(2018-) serial TV,solidnie_solidna,23/10/2018 18:51,Czy wie ktos jakie kawalki lecialy w pierwszym odcinku serialu? I jaka piosenka leciala przy koncowych napisach. Dziekuje za odpowiedzi.,Muzyka
pod powierzchnią,(2018-) serial TV,PannaRosso,28/10/2018 22:31,"Posuwa ją dyrektor szkoły, ale jak koleżanka oskarża jej ojca o gwałt wielce oburzona ;)",Główna bohaterka taka trochę hipokrytka
pod powierzchnią,(2018-) serial TV,Madzix95,30/10/2018 13:38,"Dawno nie spotkałam się z polskim serialem, który by mnie tak wciągnął jak ten. Przede wszystkim ma w sobie autentyczność, nie to w większości produkcji że wszyscy są piękni, idealni i mają cudowne życie. Obsada to ogromny plus - i tutaj nachodzi mnie taka dygresja że kto wpadł na tak idiotyczny pomysł, aby obsadzić Bachledę w głównej roli - widziałam ją w kilku produkcjach i podejrzewam, że z pewnością położyłaby ten serial. To chyba opatrzność :) sprawiła że zrezygnowała, i całe szczęście. Pani Boczarska jest tutaj fantastyczna, tworzy idealny ""zestaw"" w połączeniu z Simlatem i Topą.",Arcydzieło
pod powierzchnią,(2018-) serial TV,Montomon,29/09/2018 19:27,"Mam nadzieję, że to tylko tak zwiastun trąci serialem The Affair (woda, malzenstwo w kryzysie z powodu utraty dziecka). Zobaczymy :-)",The Affair?
